*******************************************************************************
Ephemeris / WWW_USER Sat Jul  7 18:13:45 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jun-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -3.679525298215176E+05,  1.427749750116647E+05,  8.934228315087606E+04, -4.097678563564133E-01, -7.797977726023005E-01, -4.026791644814582E-01,
2460310.541666667, A.D. 2024-Jan-01 01:00:00.0000, -3.694130892074343E+05,  1.399622336826253E+05,  8.788917990305017E+04, -4.016489297902499E-01, -7.828260180632330E-01, -4.045950789209385E-01,
2460310.583333333, A.D. 2024-Jan-01 02:00:00.0000, -3.708443657573981E+05,  1.371387018025651E+05,  8.642923708598519E+04, -3.934997043840502E-01, -7.857924961468408E-01, -4.064789072902311E-01,
2460310.625000000, A.D. 2024-Jan-01 03:00:00.0000, -3.722462513700207E+05,  1.343046020243486E+05,  8.496257040180163E+04, -3.853207214967048E-01, -7.886970459980606E-01, -4.083305430043935E-01,
2460310.666666667, A.D. 2024-Jan-01 04:00:00.0000, -3.736186398928705E+05,  1.314601575753361E+05,  8.348929593384663E+04, -3.771125225242547E-01, -7.915395093021232E-01, -4.101498808529017E-01,
2460310.708333333, A.D. 2024-Jan-01 05:00:00.0000, -3.749614271226203E+05,  1.286055922482964E+05,  8.200953014177705E+04, -3.688756489077513E-01, -7.943197302528598E-01, -4.119368169824964E-01,
2460310.750000000, A.D. 2024-Jan-01 06:00:00.0000, -3.762745108052248E+05,  1.257411303924318E+05,  8.052338985670377E+04, -3.606106421421026E-01, -7.970375555215524E-01, -4.136912488802837E-01,
2460310.791666667, A.D. 2024-Jan-01 07:00:00.0000, -3.775577906361318E+05,  1.228669969045146E+05,  7.903099227639647E+04, -3.523180437858937E-01, -7.996928342263379E-01, -4.154130753570983E-01,
2460310.833333333, A.D. 2024-Jan-01 08:00:00.0000, -3.788111682605307E+05,  1.199834172201324E+05,  7.753245496054765E+04, -3.439983954721664E-01, -8.022854179021880E-01, -4.171021965311379E-01,
2460310.875000000, A.D. 2024-Jan-01 09:00:00.0000, -3.800345472736415E+05,  1.170906173050410E+05,  7.602789582609525E+04, -3.356522389201492E-01, -8.048151604714735E-01, -4.187585138118786E-01,
