JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  2.481099345194488E+07, -1.330334521303761E+08, -5.766810615755536E+07,  2.984146364855979E+01,  4.703724789757644E+00,  2.038023538640722E+00,
2460310.541666667, A.D. 2024-Jan-01 01:00:00.0000,  2.491841618433117E+07, -1.330164828495735E+08, -5.766075373610303E+07,  2.983782949472969E+01,  4.723653140374295E+00,  2.046654929482886E+00,
2460310.583333333, A.D. 2024-Jan-01 02:00:00.0000,  2.502582580539076E+07, -1.329994418298844E+08, -5.765337024290408E+07,  2.983417957742124E+01,  4.743579725183983E+00,  2.055285619491932E+00,
2460310.625000000, A.D. 2024-Jan-01 03:00:00.0000,  2.513322225836701E+07, -1.329823290776824E+08, -5.764595568048802E+07,  2.983051389211743E+01,  4.763504534806216E+00,  2.063915605049277E+00,
2460310.666666667, A.D. 2024-Jan-01 04:00:00.0000,  2.524060548648700E+07, -1.329651445993753E+08, -5.763851005139743E+07,  2.982683243431091E+01,  4.783427559831132E+00,  2.072544882520291E+00,
2460310.708333333, A.D. 2024-Jan-01 05:00:00.0000,  2.534797543296164E+07, -1.329478884014045E+08, -5.763103335818797E+07,  2.982313519950373E+01,  4.803348790819894E+00,  2.081173448254503E+00,
2460310.750000000, A.D. 2024-Jan-01 06:00:00.0000,  2.545533204098565E+07, -1.329305604902456E+08, -5.762352560342848E+07,  2.981942218320740E+01,  4.823268218305083E+00,  2.089801298585813E+00,
2460310.791666667, A.D. 2024-Jan-01 07:00:00.0000,  2.556267525373758E+07, -1.329131608724083E+08, -5.761598678970104E+07,  2.981569338094264E+01,  4.843185832791068E+00,  2.098428429832693E+00,
2460310.833333333, A.D. 2024-Jan-01 08:00:00.0000,  2.567000501437990E+07, -1.328956895544365E+08, -5.760841691960102E+07,  2.981194878823931E+01,  4.863101624754391E+00,  2.107054838298398E+00,
2460310.875000000, A.D. 2024-Jan-01 09:00:00.0000,  2.577732126605902E+07, -1.328781465429085E+08, -5.760081599573708E+07,  2.980818840063627E+01,  4.883015584644118E+00,  2.115680520271158E+00,
2460310.916666667, A.D. 2024-Jan-01 10:00:00.0000,  2.588462395190527E+07, -1.328605318444371E+08, -5.759318402073133E+07,  2.980441221368119E+01,  4.902927702882210E+00,  2.124305472024373E+00,
2460310.958333333, A.D. 2024-Jan-01 11:00:00.0000,  2.599191301503297E+07, -1.328428454656693E+08, -5.758552099721927E+07,  2.980062022293038E+01,  4.922837969863870E+00,  2.132929689816813E+00,
2460311.000000000, A.D. 2024-Jan-01 12:00:00.0000,  2.609918839854049E+07, -1.328250874132871E+08, -5.757782692784990E+07,  2.979681242394868E+01,  4.942746375957880E+00,  2.141553169892793E+00,
2460311.041666667, A.D. 2024-Jan-01 13:00:00.0000,  2.620645004551021E+07, -1.328072576940071E+08, -5.757010181528582E+07,  2.979298881230920E+01,  4.962652911506948E+00,  2.150175908482370E+00,
2460311.083333333, A.D. 2024-Jan-01 14:00:00.0000,  2.631369789900862E+07, -1.327893563145805E+08, -5.756234566220316E+07,  2.978914938359317E+01,  4.982557566828024E+00,  2.158797901801516E+00,
2460311.125000000, A.D. 2024-Jan-01 15:00:00.0000,  2.642093190208630E+07, -1.327713832817938E+08, -5.755455847129174E+07,  2.978529413338966E+01,  5.002460332212626E+00,  2.167419146052296E+00,
2460311.166666667, A.D. 2024-Jan-01 16:00:00.0000,  2.652815199777795E+07, -1.327533386024682E+08, -5.754674024525504E+07,  2.978142305729545E+01,  5.022361197927149E+00,  2.176039637423042E+00,
2460311.208333333, A.D. 2024-Jan-01 17:00:00.0000,  2.663535812910248E+07, -1.327352222834600E+08, -5.753889098681033E+07,  2.977753615091473E+01,  5.042260154213163E+00,  2.184659372088517E+00,
2460311.250000000, A.D. 2024-Jan-01 18:00:00.0000,  2.674255023906293E+07, -1.327170343316609E+08, -5.753101069868865E+07,  2.977363340985892E+01,  5.062157191287712E+00,  2.193278346210080E+00,
2460311.291666667, A.D. 2024-Jan-01 19:00:00.0000,  2.684972827064659E+07, -1.326987747539976E+08, -5.752309938363489E+07,  2.976971482974636E+01,  5.082052299343592E+00,  2.201896555935850E+00,
2460311.333333333, A.D. 2024-Jan-01 20:00:00.0000,  2.695689216682499E+07, -1.326804435574323E+08, -5.751515704440783E+07,  2.976578040620206E+01,  5.101945468549632E+00,  2.210513997400852E+00,
2460311.375000000, A.D. 2024-Jan-01 21:00:00.0000,  2.706404187055388E+07, -1.326620407489625E+08, -5.750718368378018E+07,  2.976183013485750E+01,  5.121836689050954E+00,  2.219130666727172E+00,
2460311.416666667, A.D. 2024-Jan-01 22:00:00.0000,  2.717117732477336E+07, -1.326435663356214E+08, -5.749917930453862E+07,  2.975786401135026E+01,  5.141725950969233E+00,  2.227746560024102E+00,
2460311.458333333, A.D. 2024-Jan-01 23:00:00.0000,  2.727829847240778E+07, -1.326250203244777E+08, -5.749114390948392E+07,  2.975388203132378E+01,  5.161613244402946E+00,  2.236361673388279E+00,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  2.738540525636585E+07, -1.326064027226358E+08, -5.748307750143085E+07,  2.974988419042704E+01,  5.181498559427596E+00,  2.244976002903823E+00,
2460311.541666667, A.D. 2024-Jan-02 01:00:00.0000,  2.749249761954060E+07, -1.325877135372358E+08, -5.747498008320834E+07,  2.974587048431430E+01,  5.201381886095956E+00,  2.253589544642463E+00,
2460311.583333333, A.D. 2024-Jan-02 02:00:00.0000,  2.759957550480945E+07, -1.325689527754539E+08, -5.746685165765948E+07,  2.974184090864473E+01,  5.221263214438271E+00,  2.262202294663665E+00,
2460311.625000000, A.D. 2024-Jan-02 03:00:00.0000,  2.770663885503417E+07, -1.325501204445018E+08, -5.745869222764157E+07,  2.973779545908210E+01,  5.241142534462475E+00,  2.270814249014752E+00,
2460311.666666667, A.D. 2024-Jan-02 04:00:00.0000,  2.781368761306096E+07, -1.325312165516278E+08, -5.745050179602613E+07,  2.973373413129451E+01,  5.261019836154378E+00,  2.279425403731016E+00,
2460311.708333333, A.D. 2024-Jan-02 05:00:00.0000,  2.792072172172043E+07, -1.325122411041156E+08, -5.744228036569903E+07,  2.972965692095397E+01,  5.280895109477857E+00,  2.288035754835834E+00,
2460311.750000000, A.D. 2024-Jan-02 06:00:00.0000,  2.802774112382758E+07, -1.324931941092856E+08, -5.743402793956044E+07,  2.972556382373607E+01,  5.300768344375030E+00,  2.296645298340762E+00,
2460311.791666667, A.D. 2024-Jan-02 07:00:00.0000,  2.813474576218189E+07, -1.324740755744943E+08, -5.742574452052490E+07,  2.972145483531968E+01,  5.320639530766415E+00,  2.305254030245643E+00,
2460311.833333333, A.D. 2024-Jan-02 08:00:00.0000,  2.824173557956726E+07, -1.324548855071344E+08, -5.741743011152140E+07,  2.971732995138652E+01,  5.340508658551085E+00,  2.313861946538689E+00,
2460311.875000000, A.D. 2024-Jan-02 09:00:00.0000,  2.834871051875208E+07, -1.324356239146352E+08, -5.740908471549338E+07,  2.971318916762086E+01,  5.360375717606815E+00,  2.322469043196582E+00,
2460311.916666667, A.D. 2024-Jan-02 10:00:00.0000,  2.845567052248916E+07, -1.324162908044623E+08, -5.740070833539879E+07,  2.970903247970907E+01,  5.380240697790199E+00,  2.331075316184540E+00,
2460311.958333333, A.D. 2024-Jan-02 11:00:00.0000,  2.856261553351583E+07, -1.323968861841180E+08, -5.739230097421011E+07,  2.970485988333929E+01,  5.400103588936776E+00,  2.339680761456401E+00,
2460312.000000000, A.D. 2024-Jan-02 12:00:00.0000,  2.866954549455388E+07, -1.323774100611410E+08, -5.738386263491443E+07,  2.970067137420103E+01,  5.419964380861142E+00,  2.348285374954689E+00,
2460312.041666667, A.D. 2024-Jan-02 13:00:00.0000,  2.877646034830958E+07, -1.323578624431071E+08, -5.737539332051346E+07,  2.969646694798478E+01,  5.439823063357032E+00,  2.356889152610679E+00,
2460312.083333333, A.D. 2024-Jan-02 14:00:00.0000,  2.888336003747371E+07, -1.323382433376284E+08, -5.736689303402355E+07,  2.969224660038160E+01,  5.459679626197413E+00,  2.365492090344449E+00,
2460312.125000000, A.D. 2024-Jan-02 15:00:00.0000,  2.899024450472150E+07, -1.323185527523543E+08, -5.735836177847578E+07,  2.968801032708270E+01,  5.479534059134550E+00,  2.374094184064936E+00,
2460312.166666667, A.D. 2024-Jan-02 16:00:00.0000,  2.909711369271269E+07, -1.322987906949709E+08, -5.734979955691601E+07,  2.968375812377906E+01,  5.499386351900059E+00,  2.382695429669977E+00,
2460312.208333333, A.D. 2024-Jan-02 17:00:00.0000,  2.920396754409153E+07, -1.322789571732012E+08, -5.734120637240484E+07,  2.967948998616098E+01,  5.519236494204968E+00,  2.391295823046347E+00,
2460312.250000000, A.D. 2024-Jan-02 18:00:00.0000,  2.931080600148670E+07, -1.322590521948055E+08, -5.733258222801770E+07,  2.967520590991771E+01,  5.539084475739737E+00,  2.399895360069789E+00,
2460312.291666667, A.D. 2024-Jan-02 19:00:00.0000,  2.941762900751141E+07, -1.322390757675812E+08, -5.732392712684491E+07,  2.967090589073695E+01,  5.558930286174283E+00,  2.408494036605039E+00,
2460312.333333333, A.D. 2024-Jan-02 20:00:00.0000,  2.952443650476331E+07, -1.322190278993628E+08, -5.731524107199170E+07,  2.966658992430446E+01,  5.578773915157988E+00,  2.417091848505846E+00,
2460312.375000000, A.D. 2024-Jan-02 21:00:00.0000,  2.963122843582452E+07, -1.321989085980223E+08, -5.730652406657822E+07,  2.966225800630363E+01,  5.598615352319695E+00,  2.425688791614979E+00,
2460312.416666667, A.D. 2024-Jan-02 22:00:00.0000,  2.973800474326163E+07, -1.321787178714688E+08, -5.729777611373963E+07,  2.965791013241503E+01,  5.618454587267688E+00,  2.434284861764236E+00,
2460312.458333333, A.D. 2024-Jan-02 23:00:00.0000,  2.984476536962566E+07, -1.321584557276491E+08, -5.728899721662609E+07,  2.965354629831595E+01,  5.638291609589659E+00,  2.442880054774436E+00,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  2.995151025745206E+07, -1.321381221745474E+08, -5.728018737840285E+07,  2.964916649967998E+01,  5.658126408852670E+00,  2.451474366455408E+00,
2460312.541666667, A.D. 2024-Jan-03 01:00:00.0000,  3.005823934926071E+07, -1.321177172201855E+08, -5.727134660225025E+07,  2.964477073217654E+01,  5.677958974603084E+00,  2.460067792605983E+00,
2460312.583333333, A.D. 2024-Jan-03 02:00:00.0000,  3.016495258755589E+07, -1.320972408726230E+08, -5.726247489136378E+07,  2.964035899147042E+01,  5.697789296366516E+00,  2.468660329013966E+00,
2460312.625000000, A.D. 2024-Jan-03 03:00:00.0000,  3.027164991482625E+07, -1.320766931399571E+08, -5.725357224895410E+07,  2.963593127322134E+01,  5.717617363647715E+00,  2.477251971456096E+00,
2460312.666666667, A.D. 2024-Jan-03 04:00:00.0000,  3.037833127354481E+07, -1.320560740303228E+08, -5.724463867824713E+07,  2.963148757308350E+01,  5.737443165930487E+00,  2.485842715698019E+00,
2460312.708333333, A.D. 2024-Jan-03 05:00:00.0000,  3.048499660616896E+07, -1.320353835518930E+08, -5.723567418248402E+07,  2.962702788670509E+01,  5.757266692677575E+00,  2.494432557494233E+00,
2460312.750000000, A.D. 2024-Jan-03 06:00:00.0000,  3.059164585514037E+07, -1.320146217128788E+08, -5.722667876492122E+07,  2.962255220972783E+01,  5.777087933330533E+00,  2.503021492588040E+00,
